                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65109,                 1.1681,                  1.444,                 1.0824,                0.59688,                0.57563,                0.60935,                0.54007,                0.59305,                0.57209,                0.60457,                0.52664,                0.58574,                 1.1608,                  1.293,                 1.0345,              0.0033274,              0.0033274,              0.0033274
                      2,                0.65103,                 1.1759,                 1.4164,                 1.0768,                0.55631,                 0.5768,                0.59295,                0.52835,                 0.5554,                0.57455,                0.59116,                0.51629,                0.61287,                 1.1826,                 1.3413,                  1.058,              0.0065948,              0.0065948,              0.0065948
                      3,                0.67007,                 1.1813,                 1.4728,                 1.0881,                0.56948,                0.52661,                0.56289,                0.48925,                0.56657,                0.52294,                0.55995,                 0.4796,                0.63176,                 1.2696,                 1.4567,                 1.0751,              0.0097962,              0.0097962,              0.0097962
