                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.65603,                  1.147,                 1.3333,                 1.0771,                0.57507,                0.58824,                0.61877,                0.54261,                0.58622,                0.58062,                0.61515,                 0.5309,                0.59746,                 1.1706,                 1.3164,                 1.0501,               0.007723,               0.007723,               0.007723
                     26,                0.65647,                 1.1586,                 1.3371,                 1.0792,                0.68323,                0.55189,                0.62927,                0.55441,                0.68331,                0.55234,                0.62753,                0.54496,                0.61823,                 1.2157,                 1.3096,                 1.0606,               0.007624,               0.007624,               0.007624
                     27,                0.64598,                 1.1362,                 1.3103,                 1.0678,                0.58536,                0.60704,                0.63585,                  0.563,                0.58355,                  0.605,                0.63294,                0.55157,                0.59776,                 1.1684,                  1.275,                 1.0545,               0.007525,               0.007525,               0.007525
                     28,                0.65117,                 1.1324,                 1.3006,                  1.073,                0.56633,                0.60875,                0.62653,                0.54777,                0.56467,                0.60657,                0.62146,                0.53967,                0.61397,                 1.2057,                 1.2977,                 1.0669,               0.007426,               0.007426,               0.007426
                     29,                0.64793,                 1.1311,                 1.2906,                 1.0714,                0.59034,                0.59796,                0.61197,                0.54286,                0.58788,                0.59727,                0.61193,                0.53204,                0.60687,                 1.2002,                  1.263,                 1.0674,               0.007327,               0.007327,               0.007327
                     30,                0.64653,                 1.1273,                 1.2888,                 1.0693,                0.57821,                0.62095,                0.64289,                 0.5705,                0.57661,                 0.6182,                0.64238,                0.56092,                0.61006,                 1.1905,                 1.2551,                 1.0663,               0.007228,               0.007228,               0.007228
                     31,                0.64074,                 1.1224,                 1.2662,                 1.0678,                0.61072,                 0.6177,                0.63731,                0.56578,                0.60469,                0.61418,                0.63315,                 0.5549,                0.60915,                 1.1825,                 1.2662,                 1.0612,               0.007129,               0.007129,               0.007129
                     32,                0.63532,                 1.1226,                 1.2562,                 1.0641,                0.63108,                0.64089,                0.65565,                0.58175,                0.63356,                0.63462,                0.65272,                0.57152,                0.59556,                 1.1799,                  1.238,                 1.0538,                0.00703,                0.00703,                0.00703
                     33,                 0.6339,                 1.1183,                 1.2581,                 1.0616,                0.62515,                0.61793,                0.64706,                0.57464,                 0.6225,                0.61603,                0.64241,                0.56417,                0.59508,                 1.1771,                 1.2239,                 1.0491,               0.006931,               0.006931,               0.006931
                     34,                0.63423,                 1.1053,                 1.2324,                 1.0623,                0.62309,                0.61439,                0.64467,                 0.5698,                0.61773,                0.60939,                0.64113,                0.56015,                0.60074,                 1.1626,                 1.2214,                 1.0504,               0.006832,               0.006832,               0.006832
                     35,                0.63458,                 1.1087,                 1.2441,                  1.063,                0.61385,                0.63861,                0.65539,                0.58396,                0.61392,                 0.6377,                0.65512,                 0.5753,                 0.5943,                 1.1406,                 1.2246,                 1.0447,               0.006733,               0.006733,               0.006733
                     36,                  0.636,                 1.1159,                 1.2371,                 1.0656,                0.59544,                0.62631,                0.66009,                0.58701,                0.59145,                0.62099,                0.65365,                0.57516,                0.59002,                 1.1684,                 1.2108,                 1.0469,               0.006634,               0.006634,               0.006634
                     37,                0.62889,                  1.107,                 1.2203,                  1.059,                 0.6295,                0.60595,                0.66117,                0.58919,                0.62799,                0.60399,                0.65806,                0.57684,                0.57785,                 1.1485,                 1.2022,                 1.0335,               0.006535,               0.006535,               0.006535
                     38,                0.63082,                 1.1022,                 1.2167,                 1.0641,                0.63409,                0.61973,                0.65926,                0.58651,                0.63639,                0.61786,                0.65903,                0.57692,                0.59262,                 1.1727,                 1.2287,                 1.0438,               0.006436,               0.006436,               0.006436
                     39,                0.62464,                 1.0888,                 1.2053,                 1.0597,                0.61974,                0.64565,                0.65399,                0.58394,                0.61704,                0.64445,                0.64958,                0.57202,                0.58537,                  1.182,                 1.2199,                 1.0389,               0.006337,               0.006337,               0.006337
                     40,                0.62544,                 1.0884,                  1.196,                 1.0579,                 0.6812,                0.62052,                0.67112,                0.59555,                0.67704,                0.61618,                0.66727,                 0.5847,                0.58714,                 1.1752,                 1.2142,                 1.0371,               0.006238,               0.006238,               0.006238
                     41,                0.61916,                 1.0819,                 1.1737,                 1.0542,                  0.608,                0.64836,                0.66752,                0.59492,                0.60677,                0.64628,                 0.6645,                 0.5804,                0.59348,                 1.1718,                 1.2279,                   1.05,               0.006139,               0.006139,               0.006139
                     42,                0.62723,                 1.0932,                 1.1745,                 1.0576,                0.66767,                0.61087,                0.66042,                0.58713,                0.67062,                0.61115,                0.66203,                0.57485,                0.58633,                 1.1539,                 1.2023,                 1.0347,                0.00604,                0.00604,                0.00604
                     43,                0.62037,                 1.0784,                 1.1654,                  1.052,                0.62235,                0.68091,                0.66572,                0.59215,                0.61758,                0.66995,                0.65961,                0.57823,                0.57908,                 1.1467,                 1.2038,                 1.0308,               0.005941,               0.005941,               0.005941
                     44,                0.61633,                 1.0782,                 1.1596,                 1.0512,                0.63697,                0.62608,                0.66426,                0.59361,                0.63726,                0.62275,                0.66126,                 0.5796,                0.57517,                 1.1594,                 1.1985,                 1.0262,               0.005842,               0.005842,               0.005842
                     45,                0.61473,                 1.0729,                 1.1507,                   1.05,                0.63266,                0.64988,                0.66485,                0.59491,                0.63202,                0.64965,                0.66344,                0.58477,                0.57935,                 1.1521,                 1.1823,                 1.0307,               0.005743,               0.005743,               0.005743
                     46,                0.61888,                 1.0724,                 1.1437,                 1.0533,                0.67066,                0.63351,                 0.6708,                0.59755,                0.66538,                0.63113,                0.66627,                0.58496,                0.58383,                 1.1549,                 1.1704,                 1.0338,               0.005644,               0.005644,               0.005644
                     47,                 0.6185,                 1.0793,                 1.1516,                 1.0511,                0.66102,                0.63268,                0.67539,                0.60462,                0.65965,                0.62978,                0.67068,                0.59349,                0.58126,                 1.1456,                 1.1649,                 1.0386,               0.005545,               0.005545,               0.005545
                     48,                0.60286,                 1.0569,                 1.1193,                 1.0434,                0.64928,                 0.6217,                0.67101,                0.59916,                0.64587,                0.61786,                0.66517,                0.58656,                0.58324,                 1.1783,                 1.1703,                 1.0442,               0.005446,               0.005446,               0.005446
                     49,                 0.6061,                  1.053,                 1.1184,                 1.0488,                0.67343,                0.62331,                0.68434,                 0.6091,                0.67225,                0.61882,                  0.679,                0.59358,                0.58222,                 1.1575,                  1.168,                 1.0335,               0.005347,               0.005347,               0.005347
                     50,                0.60898,                 1.0544,                  1.112,                 1.0474,                0.69282,                0.60462,                0.67306,                0.59773,                0.66838,                0.62255,                0.66954,                0.58618,                0.58293,                 1.1569,                 1.1611,                 1.0361,               0.005248,               0.005248,               0.005248
